city,project,country,state,province,link,slug,id
Bhopal,Bhopal,India,,Madhya Pradesh,https://www.inaturalist.org/projects/city-nature-challenge-2026-bhopal,city-nature-challenge-2026-bhopal,264783.0
Bhubaneswar,Bhubaneswar,India,,Odisha,https://www.inaturalist.org/projects/city-nature-challenge-2026-bhubaneswar,city-nature-challenge-2026-bhubaneswar,270996.0
Chiang Rai,Chiang Rai,Thailand,,Chiang Rai,https://www.inaturalist.org/projects/city-nature-challenge-2026-chiang-rai,city-nature-challenge-2026-chiang-rai,273897.0
Chiayi,Chiayi-Yunlin,Taiwan,,-,https://www.inaturalist.org/projects/city-nature-challenge-2026-chiayi-yunlin,city-nature-challenge-2026-chiayi-yunlin,272352.0
Chicago,Chicagoland Region,United States of America,"Illinois, Indiana, Wisconsin",,https://www.inaturalist.org/projects/city-nature-challenge-2026-chicagoland-region,city-nature-challenge-2026-chicagoland-region,265860.0
Chimoio,Chimoio,Mozambique,,Manica,https://www.inaturalist.org/projects/city-nature-challenge-2026-chimoio,city-nature-challenge-2026-chimoio,274488.0
Chiúre,Chiúre,Mozambique,,Cabo Delgado,https://www.inaturalist.org/projects/city-nature-challenge-2026-chiure,city-nature-challenge-2026-chiure,274484.0
Chortkiv,Ternopil region,Ukraine,,Ternopil,https://www.inaturalist.org/projects/city-nature-challenge-2026-chortkiv-town,city-nature-challenge-2026-chortkiv-town,274902.0
Cidade da Beira,Beira,Mozambique,,Sofala,https://www.inaturalist.org/projects/city-nature-challenge-2026-cidade-da-beira,city-nature-challenge-2026-cidade-da-beira,274477.0
Cidade de Inhambane,Inhambane,Mozambique,,Inhambane,https://www.inaturalist.org/projects/city-nature-challenge-2026-cidade-de-inhambane,city-nature-challenge-2026-cidade-de-inhambane,274486.0
Cidade de Lichinga,Lichinga,Mozambique,,Niassa,https://www.inaturalist.org/projects/city-nature-challenge-2026-cidade-de-lichinga,city-nature-challenge-2026-cidade-de-lichinga,274883.0
Cidade de Maputo,Cidade de Maputo,Mozambique,,Maputo,https://www.inaturalist.org/projects/city-nature-challenge-2026-cidade-de-maputo,city-nature-challenge-2026-cidade-de-maputo,274465.0
Cincinnati,Cincinnati:Hamilton County,United States of America,Ohio,,https://www.inaturalist.org/projects/city-nature-challenge-2026-cincinnati-hamilton-county,city-nature-challenge-2026-cincinnati-hamilton-county,267359.0
Hamilton,Hamilton,Canada,,Ontario,https://www.inaturalist.org/projects/city-nature-challenge-2026-city-of-hamilton,city-nature-challenge-2026-city-of-hamilton,274910.0
Harrisburg,City of Harrisburg,United States of America,Pennsylvania,,https://www.inaturalist.org/projects/city-nature-challenge-2026-city-of-harrisburg,city-nature-challenge-2026-city-of-harrisburg,267392.0
Kingston,Kingston,Canada,,Ontario,https://www.inaturalist.org/projects/city-nature-challenge-2026-city-of-kingston,city-nature-challenge-2026-city-of-kingston,264949.0
Logan,City of Logan,Australia,,Queensland,https://www.inaturalist.org/projects/city-nature-challenge-2026-city-of-logan,city-nature-challenge-2026-city-of-logan,278351.0
Chennai,Chennai,India,,Tamil Nadu,https://www.inaturalist.org/projects/city-nature-challenge-2026-chennai,city-nature-challenge-2026-chennai,265167.0
Grand Junction,Colorado West Slope,United States of America,Colorado,,https://www.inaturalist.org/projects/city-nature-challenge-2026-colorado-west-slope,city-nature-challenge-2026-colorado-west-slope,265027.0
Columbia,Columbia,United States of America,South Carolina,,https://www.inaturalist.org/projects/city-nature-challenge-2026-columbia,city-nature-challenge-2026-columbia,265537.0
Columbus,Columbus Ohio,United States of America,Ohio,,https://www.inaturalist.org/projects/city-nature-challenge-2026-columbus-ohio,city-nature-challenge-2026-columbus-ohio,264100.0
Corvallis,Benton County,United States of America,Oregon,,https://www.inaturalist.org/projects/city-nature-challenge-2026-corvallis,city-nature-challenge-2026-corvallis,273161.0
Curacao,Curacao,Curacao,,Curacao,https://www.inaturalist.org/projects/city-nature-challenge-2026-curacao,city-nature-challenge-2026-curacao,264640.0
Dallas,Dallas/Fort Worth,United States of America,Texas,,https://www.inaturalist.org/projects/city-nature-challenge-2026-dallas-fort-worth,city-nature-challenge-2026-dallas-fort-worth,272714.0
Darwin,Darwin and Palmerston,Australia,,Northern territory,https://www.inaturalist.org/projects/city-nature-challenge-2026-darwin-and-palmerston,city-nature-challenge-2026-darwin-and-palmerston,273080.0
Debrecen,Debrecen,Hungary,,Hungary,https://www.inaturalist.org/projects/city-nature-challenge-2026-debrecen,city-nature-challenge-2026-debrecen,274577.0
Chhatrapati Smabhajinagar,Chhatrapati Smabhajinagar,India,,Maharashtra,https://www.inaturalist.org/projects/city-nature-challenge-2026-chhatrapati-sambhajinagar,city-nature-challenge-2026-chhatrapati-sambhajinagar,278836.0
Denver,Colorado Front Range,United States of America,Colorado,,https://www.inaturalist.org/projects/city-nature-challenge-2026-denver-metro-area,city-nature-challenge-2026-denver-metro-area,
Detroit,Detroil Tri-County Area,United States of America,Michigan,,https://www.inaturalist.org/projects/city-nature-challenge-2026-detroit-tri-county-area,city-nature-challenge-2026-detroit-tri-county-area,274967.0
Dnipro,Dnipro ter hromada,Ukraine,,Dnipropetrovsk,https://www.inaturalist.org/projects/city-nature-challenge-2026-dnipro,city-nature-challenge-2026-dnipro,274686.0
Dubai,Dubai,United Arab Emirates,,,https://www.inaturalist.org/projects/city-nature-challenge-2026-dubai,city-nature-challenge-2026-dubai,264631.0
Dunedin,Ōtepoti/Dunedin,New Zealand,,Otago,https://www.inaturalist.org/projects/city-nature-challenge-2026-dunedin-otepoti,city-nature-challenge-2026-dunedin-otepoti,
Dykanka,Dykanka hromada,Ukraine,,Poltava,https://www.inaturalist.org/projects/city-nature-challenge-2026-dykanka-hromada,city-nature-challenge-2026-dykanka-hromada,275039.0
Ekaterinburg,Ekaterinburg,Russia,,Sverdlovsk,https://www.inaturalist.org/projects/city-nature-challenge-2026-ekaterinburg-russia-turnir-gorodskoy-prirody-2025-ekaterinburg,city-nature-challenge-2026-ekaterinburg-russia-turnir-gorodskoy-prirody-2025-ekaterinburg,267905.0
Ekurhuleni,Ekurhuleni,South Africa,,Gauteng,https://www.inaturalist.org/projects/city-nature-challenge-2026-ekurhuleni,city-nature-challenge-2026-ekurhuleni,270223.0
El Paso,El Paso County,United States of America,Texas,,https://www.inaturalist.org/projects/city-nature-challenge-2026-el-paso,city-nature-challenge-2026-el-paso,266133.0
Elko,Elko County,United States of America,Nevada,,https://www.inaturalist.org/projects/city-nature-challenge-2026-elko-county,city-nature-challenge-2026-elko-county,275365.0
Neulengbach,Region Elsbeere Wienerwald,Austria,,Lower Austria,https://www.inaturalist.org/projects/city-nature-challenge-2026-elsbeere-wienerwald,city-nature-challenge-2026-elsbeere-wienerwald,265724.0
Montrose,Endless Mountains Region,United States of America,Pennsylvania,,https://www.inaturalist.org/projects/city-nature-challenge-2026-endless-mountains-region,city-nature-challenge-2026-endless-mountains-region,243528.0
Erie,Greater Erie,United States of America,Pennsylvania,,https://www.inaturalist.org/projects/city-nature-challenge-2026-erie-county,city-nature-challenge-2026-erie-county,272998.0
eThekwini,eThekwini,South Africa,,KwaZulu-Natal / South Africa,https://www.inaturalist.org/projects/city-nature-challenge-2026-ethekwini,city-nature-challenge-2026-ethekwini,275299.0
Exeter,Exeter,England,,Devon,https://www.inaturalist.org/projects/city-nature-challenge-2026-exeter,city-nature-challenge-2026-exeter,269967.0
Fairfield,Fairfield and Westchester County,United States of America,"Connecticut, New York",,https://www.inaturalist.org/projects/city-nature-challenge-2026-fairfield-and-westchester-county,city-nature-challenge-2026-fairfield-and-westchester-county,273106.0
Fall River,Fall River,United States of America,Massachusetts,,https://www.inaturalist.org/projects/city-nature-challenge-2026-fall-river,city-nature-challenge-2026-fall-river,
Ferrara,Provincia di Ferrara,Italy,,Ferrara,https://www.inaturalist.org/projects/city-nature-challenge-2026-ferrara,city-nature-challenge-2026-ferrara,274277.0
Fort Wayne,Greater Fort Wayne Area,United States of America,Indiana,,https://www.inaturalist.org/projects/city-nature-challenge-2026-fort-wayne-area,city-nature-challenge-2026-fort-wayne-area,269468.0
Frankfort,Frankfort,United States of America,Kentucky,,https://www.inaturalist.org/projects/city-nature-challenge-2026-frankfort,city-nature-challenge-2026-frankfort,267947.0
Frankfurt am Main,Frankfurt am Main,Germany,,Hessen,https://www.inaturalist.org/projects/city-nature-challenge-2026-frankfurt-am-main,city-nature-challenge-2026-frankfurt-am-main,267900.0
Free State,Free State,South Africa,,Free State,https://www.inaturalist.org/projects/city-nature-challenge-2026-free-state,city-nature-challenge-2026-free-state,269824.0
Freiburg im Breisgau,Freiburg Schwarzwald & Kaiserstuhl,Germany,,Baden-Württemberg,https://www.inaturalist.org/projects/city-nature-challenge-2026-freiburg-schwarzwald-kaiserstuhl,city-nature-challenge-2026-freiburg-schwarzwald-kaiserstuhl,269098.0
Bilaspur,Chhattisgarh,India,,Chhattisgarh,https://www.inaturalist.org/projects/city-nature-challenge-2026-chhattisgarh,city-nature-challenge-2026-chhattisgarh,265845.0
Garden Route,Garden Route,South Africa,,Western Cape,https://www.inaturalist.org/projects/city-nature-challenge-2026-garden-route,city-nature-challenge-2026-garden-route,264563.0
Genova,Genova,Italy,,Liguria,https://www.inaturalist.org/projects/city-nature-challenge-2026-genova,city-nature-challenge-2026-genova,269952.0
Coimbatore,Coimbatore,India,,Tamil Nadu,https://www.inaturalist.org/projects/city-nature-challenge-2026-coimbatore,city-nature-challenge-2026-coimbatore,266373.0
Gorongosa,Gorongosa,Mozambique,,Sofala,https://www.inaturalist.org/projects/city-nature-challenge-2026-gorangosa,city-nature-challenge-2026-gorangosa,274489.0
Göttingen,Göttingen Stadt & Landkreis,Germany,,Lower Saxony,https://www.inaturalist.org/projects/city-nature-challenge-2026-gottingen-stadt-landkreis,city-nature-challenge-2026-gottingen-stadt-landkreis,266118.0
Curitiba,Grande Curitiba,Brazil,,Paraná,https://www.inaturalist.org/projects/city-nature-challenge-2026-grande-curitiba,city-nature-challenge-2026-grande-curitiba,
Grass Valley,Grass Valley - Nevada City,United States of America,California,,https://www.inaturalist.org/projects/city-nature-challenge-2026-grass-valley-nevada-city,city-nature-challenge-2026-grass-valley-nevada-city,272253.0
Steiermark,Steiermark,Austria,,Steiermark,https://www.inaturalist.org/projects/city-nature-challenge-2026-graz-die-restliche-steiermark,city-nature-challenge-2026-graz-die-restliche-steiermark,
Adelaide,Greater Adelaide,Australia,,South Australia,https://www.inaturalist.org/projects/city-nature-challenge-2026-greater-adelaide,city-nature-challenge-2026-greater-adelaide,273079.0
Belfast,Greater Belfast,Northern Ireland,,Ulster,https://www.inaturalist.org/projects/city-nature-challenge-2026-greater-belfast,city-nature-challenge-2026-greater-belfast,265110.0
Cairo,Greater Cairo,Egypt,,Cairo Governorate,https://www.inaturalist.org/projects/city-nature-challenge-2026-greater-cairo,city-nature-challenge-2026-greater-cairo,269930.0
Chattanooga,Greater Chattanooga Area,United States of America,"Alabama, Georgia, Tennessee",,https://www.inaturalist.org/projects/city-nature-challenge-2026-greater-chattanooga-area/,city-nature-challenge-2026-greater-chattanooga-area,268790.0
Des Moines,Greater Des Moines Area,United States of America,Iowa,,https://www.inaturalist.org/projects/city-nature-challenge-2026-greater-des-moines,city-nature-challenge-2026-greater-des-moines,265002.0
Edinburgh,Greater Edinburgh,Scotland,,Greater Edinburgh,https://www.inaturalist.org/projects/city-nature-challenge-2026-greater-edinburgh,city-nature-challenge-2026-greater-edinburgh,272157.0
Francistown,Greater Francistown,Botswana,,North East District,https://www.inaturalist.org/projects/city-nature-challenge-2026-greater-francistown,city-nature-challenge-2026-greater-francistown,270718.0
Geelong,Greater Geelong,Australia,,Victoria,https://www.inaturalist.org/projects/city-nature-challenge-2026-greater-geelong,city-nature-challenge-2026-greater-geelong,267310.0
Glasgow,Greater Glasgow,Scotland,,Greater Glasgow,https://www.inaturalist.org/projects/city-nature-challenge-2026-greater-glasgow,city-nature-challenge-2026-greater-glasgow,272155.0
Kansas City,Greater Kansas City Metro Area,United States of America,"Kansas, Missouri",,https://www.inaturalist.org/projects/city-nature-challenge-2026-greater-kansas-city-metro-area,city-nature-challenge-2026-greater-kansas-city-metro-area,265843.0
London,Greater London,England,,Greater London,https://www.inaturalist.org/projects/city-nature-challenge-2026-greater-london,city-nature-challenge-2026-greater-london,265103.0
Manchester,Greater Manchester,England,,Greater Manchester,https://www.inaturalist.org/projects/city-nature-challenge-2026-greater-manchester,city-nature-challenge-2026-greater-manchester,270044.0
Melbourne,Greater Melbourne,Australia,,Greater Melbourne,https://www.inaturalist.org/projects/city-nature-challenge-2026-greater-melbourne,city-nature-challenge-2026-greater-melbourne,270698.0
Milwaukee,Greater Milwaukee Area,United States of America,Wisconsin,,https://www.inaturalist.org/projects/city-nature-challenge-2026-greater-milwaukee-area,city-nature-challenge-2026-greater-milwaukee-area,270159.0
Philadelphia,Philadelphia,United States of America,Pennsylvania,,https://www.inaturalist.org/projects/city-nature-challenge-2026-greater-philadelphia-area,city-nature-challenge-2026-greater-philadelphia-area,277500.0
Phoenix,Greater Phoenix Area,United States of America,Arizona,,https://www.inaturalist.org/projects/city-nature-challenge-2026-greater-phoenix-area,city-nature-challenge-2026-greater-phoenix-area,265132.0
Portland,Greater Portland-Vancouver Metro Area,United States of America,"Oregon, Washington",,https://www.inaturalist.org/projects/city-nature-challenge-2026-greater-portland-vancouver-metro-area,city-nature-challenge-2026-greater-portland-vancouver-metro-area,273762.0
Richmond,Greater Richmond Metropolitan Area,United States of America,Virginia,,https://www.inaturalist.org/projects/city-nature-challenge-2026-greater-richmond-metropolitan-area,city-nature-challenge-2026-greater-richmond-metropolitan-area,264338.0
Sydney,Greater Sydney,Australia,,New South Wales,https://www.inaturalist.org/projects/city-nature-challenge-2026-greater-sydney,city-nature-challenge-2026-greater-sydney,265388.0
Victoria,Greater Victoria,Canada,,British Columbia,https://www.inaturalist.org/projects/city-nature-challenge-2026-greater-victoria,city-nature-challenge-2026-greater-victoria,264125.0
Greenville,Greenville County,United States of America,South Carolina,,https://www.inaturalist.org/projects/city-nature-challenge-2026-greenville-county-sc,city-nature-challenge-2026-greenville-county-sc,269470.0
City of Guelph,Guelph,Canada,,Ontario,https://www.inaturalist.org/projects/city-nature-challenge-2026-guelph-ontario,city-nature-challenge-2026-guelph-ontario,273153.0
Guilford County,"Guilford County, NC",United States of America,North Carolina,,https://www.inaturalist.org/projects/city-nature-challenge-2026-guilford-county-nc,city-nature-challenge-2026-guilford-county-nc,274044.0
Savanes,Guyane : Savanes & Littoral,France,,French Guiana,https://www.inaturalist.org/projects/city-nature-challenge-2026-guyane-savanes-littoral,city-nature-challenge-2026-guyane-savanes-littoral,
Dehradun,Dehradun,India,,Uttarakhand,https://www.inaturalist.org/projects/city-nature-challenge-2026-dehradun,city-nature-challenge-2026-dehradun,277645.0
Haifa,Haifa,Israel,,Haifa - north Israel,https://www.inaturalist.org/projects/city-nature-challenge-2026-haifa,city-nature-challenge-2026-haifa,270989.0
Hartford,Hartford and New Haven counties,United States of America,Connecticut,,https://www.inaturalist.org/projects/city-nature-challenge-2026-hartford-new-haven-counties,city-nature-challenge-2026-hartford-new-haven-counties,273899.0
Hat Yai,Hat Yai,Thailand,,Songkhla,https://www.inaturalist.org/projects/city-nature-challenge-2026-hat-yai-thailand,city-nature-challenge-2026-hat-yai-thailand,270269.0
Heidelberg,Heidelberg / Rhein-Neckar,Germany,,Baden-Württemberg,https://www.inaturalist.org/projects/city-nature-challenge-2026-heidelberg-germany,city-nature-challenge-2026-heidelberg-germany,265003.0
Henderson,City of Henderson,United States of America,Nevada,,https://www.inaturalist.org/projects/city-nature-challenge-2026-henderson,city-nature-challenge-2026-henderson,270644.0
Hereford,Herefordshire,England,,West Midlands,https://www.inaturalist.org/projects/city-nature-challenge-2026-herefordshire,city-nature-challenge-2026-herefordshire,266448.0
Herzliya,"Herzliya, Israel",Israel,,Tel Aviv District,https://www.inaturalist.org/projects/city-nature-challenge-2026-herzliya,city-nature-challenge-2026-herzliya,265198.0
Tampa,Hillsborough County,United States of America,Florida,,https://www.inaturalist.org/projects/city-nature-challenge-2026-hillsborough-county-florida,city-nature-challenge-2026-hillsborough-county-florida,267863.0
Hlohovec,Hlohovec,Slovakia,,Hlohovec/Hlohovec,https://www.inaturalist.org/projects/city-nature-challenge-2026-hlohovec,city-nature-challenge-2026-hlohovec,273513.0
Hong Kong,Hong Kong,China,,China,https://www.inaturalist.org/projects/city-nature-challenge-2026-hong-kong,city-nature-challenge-2026-hong-kong,264271.0
Houston-Galveston,Houston-Galveston,United States of America,Texas,,https://www.inaturalist.org/projects/city-nature-challenge-2026-houston-galveston,city-nature-challenge-2026-houston-galveston,276652.0
Hsinchu,Hsinchu,Taiwan,,-,https://www.inaturalist.org/projects/city-nature-challenge-2026-hsinchu,city-nature-challenge-2026-hsinchu,272357.0
Durgapur,Durgapur,India,,West Bengal,https://www.inaturalist.org/projects/city-nature-challenge-2026-durgapur,city-nature-challenge-2026-durgapur,279050.0
Indianapolis,Indianapolis & Central Indiana Area,United States of America,Indiana,,https://www.inaturalist.org/projects/city-nature-challenge-2026-indianapolis,city-nature-challenge-2026-indianapolis,265443.0
Eluru,Eluru,India,,Andhra Pradesh,https://www.inaturalist.org/projects/city-nature-challenge-2026-eluru,city-nature-challenge-2026-eluru,276018.0
Riverside,Riverside- Corona Resource Conservation District (RCRCD),United States of America,California,,https://www.inaturalist.org/projects/city-nature-challenge-2026-inland-empire,city-nature-challenge-2026-inland-empire,273294.0
Innsbruck,Innsbruck-Stadt und Innsbruck-Land,Austria,,Tirol,https://www.inaturalist.org/projects/city-nature-challenge-2026-innsbruck,city-nature-challenge-2026-innsbruck,270093.0
Kanazawa,Ishikawa,Japan,,Ishikawa,https://www.inaturalist.org/projects/city-nature-challenge-2026-ishikawa,city-nature-challenge-2026-ishikawa,274656.0
Istanbul,Istanbul,Turkey,,Istanbul,https://www.inaturalist.org/projects/city-nature-challenge-2026-istanbul,city-nature-challenge-2026-istanbul,263189.0
Medulin,Istarska županija,Croatia,,Istarska županija,https://www.inaturalist.org/projects/city-nature-challenge-2026-istarska-zupanija,city-nature-challenge-2026-istarska-zupanija,271687.0
Pula,Istarska županija,Croatia,,Istarska županija,https://www.inaturalist.org/projects/city-nature-challenge-2026-istarska-zupanija,city-nature-challenge-2026-istarska-zupanija,271687.0
Ivankiv Hromada,Ivankiv Hromada,Ukraine,,Kyiv,https://www.inaturalist.org/projects/city-nature-challenge-2026-ivankiv-hromada,city-nature-challenge-2026-ivankiv-hromada,274738.0
Joburg,Joburg,South Africa,,Gauteng,https://www.inaturalist.org/projects/city-nature-challenge-2026-joburg,city-nature-challenge-2026-joburg,273555.0
Iowa City,Johnson County,United States of America,Iowa,,https://www.inaturalist.org/projects/city-nature-challenge-2026-johnson-county-iowa,city-nature-challenge-2026-johnson-county-iowa,266277.0
Klagenfurt,Kärnten,Austria,,Kärnten,https://www.inaturalist.org/projects/city-nature-challenge-2026-kaernten,city-nature-challenge-2026-kaernten,179569.0
Kandy,Kandy,Sri Lanka,,Central Province,https://www.inaturalist.org/projects/city-nature-challenge-2026-kandy,city-nature-challenge-2026-kandy,264006.0
Kaohsiung,Kaohsiung,Taiwan,,-,https://www.inaturalist.org/projects/city-nature-challenge-2026-kaohsiung,city-nature-challenge-2026-kaohsiung,272362.0
Karaganda,Karaganda,Kazakhstan,,Karaganda Metropolitan,https://www.inaturalist.org/projects/city-nature-challenge-2026-karaganda,city-nature-challenge-2026-karaganda,265819.0
Karlovac,Karlovačka županija,Croatia,,Karlovačka županija,https://www.inaturalist.org/projects/city-nature-challenge-2026-karlovacka-zupanija,city-nature-challenge-2026-karlovacka-zupanija,264418.0
Kenton County,Kenton County,United States of America,Kentucky,,https://www.inaturalist.org/projects/city-nature-challenge-2026-kenton-county-ky,city-nature-challenge-2026-kenton-county-ky,269083.0
Gangtok,Gangtok,India,,Sikkim,https://www.inaturalist.org/projects/city-nature-challenge-2026-gangtok-sikkim,city-nature-challenge-2026-gangtok-sikkim,268738.0
Bakersfield,Kern County,United States of America,California,,https://www.inaturalist.org/projects/city-nature-challenge-2026-kern-county,city-nature-challenge-2026-kern-county,265001.0
Kharkiv,Kharkiv,Ukraine,,Kharkiv,https://www.inaturalist.org/projects/city-nature-challenge-2026-kharkiv-region,city-nature-challenge-2026-kharkiv-region,
Kherson,Kherson City UA,Ukraine,,Kherson,https://www.inaturalist.org/projects/city-nature-challenge-2026-kherson,city-nature-challenge-2026-kherson,274712.0
Mueang Nakhon Ratchasima,Khorat Paleontopolis,Thailand,,Nakhon Ratchasima,https://www.inaturalist.org/projects/city-nature-challenge-2026-khorat-paleontopolis,city-nature-challenge-2026-khorat-paleontopolis,274272.0
Kiel,KielRegion,Germany,,Schleswig-Holstein,https://www.inaturalist.org/projects/city-nature-challenge-2026-kielregion,city-nature-challenge-2026-kielregion,263907.0
Bainbridge Island,Kitsap County,United States of America,Washington,,https://www.inaturalist.org/projects/city-nature-challenge-2026-kitsap-county,city-nature-challenge-2026-kitsap-county,272201.0
Klang Valley,Klang Valley,Malaysia,,Malaysia,https://www.inaturalist.org/projects/city-nature-challenge-2026-klang-valley-malaysia,city-nature-challenge-2026-klang-valley-malaysia,266183.0
Knoxville,Knox Area,United States of America,Tennessee,,https://www.inaturalist.org/projects/city-nature-challenge-2026-knox-area,city-nature-challenge-2026-knox-area,267482.0
Koblenz,KoblenzRegion,Germany,,Rheinland-Pfalz,https://www.inaturalist.org/projects/city-nature-challenge-2026-koblenzregion,city-nature-challenge-2026-koblenzregion,270104.0
Kobleve rural territorial community,Kobleve rural territorial community,Ukraine,,Mykolaiv,https://www.inaturalist.org/projects/city-nature-challenge-2026-kobleve-rural-territorial-community,city-nature-challenge-2026-kobleve-rural-territorial-community,274926.0
Koh Mak Phatthalung,Koh Mak,Thailand,,Phatthalung,https://www.inaturalist.org/projects/city-nature-challenge-2026-koh-mak-phatthalung,city-nature-challenge-2026-koh-mak-phatthalung,274828.0
Ghaziabad,CNC Ghaziabad and Gautam buddha nagar,India,,Uttar Pradesh,https://www.inaturalist.org/projects/city-nature-challenge-2026-ghaziabad-and-gautam-buddha-nagar,city-nature-challenge-2026-ghaziabad-and-gautam-buddha-nagar,273818.0
Konotop,City Nature Challenge 2026: Konotop,Ukraine,,Sumy Region,https://www.inaturalist.org/projects/city-nature-challenge-2026-konotop,city-nature-challenge-2026-konotop,274936.0
Nakhon Ratchasima,Korat (Nakhon Ratchasima),Thailand,,Nakhon Ratchasima,https://www.inaturalist.org/projects/city-nature-challenge-2026-korat-nakhon-ratchasima,city-nature-challenge-2026-korat-nakhon-ratchasima,
Habra,Habra,India,,West Bengal,https://www.inaturalist.org/projects/city-nature-challenge-2026-habra-north-24-pgs,city-nature-challenge-2026-habra-north-24-pgs,276592.0
Kovel,Kovel,Ukraine,,Volyn,https://www.inaturalist.org/projects/city-nature-challenge-2026-kovel,city-nature-challenge-2026-kovel,274682.0
Kraków,Kraków,Poland,,Lesser Poland Voivodeship,https://www.inaturalist.org/projects/city-nature-challenge-2026-krakow,city-nature-challenge-2026-krakow,264278.0
Krapina,Krapinsko-zagorska županija,Croatia,,Krapinsko-zagorska županija,https://www.inaturalist.org/projects/city-nature-challenge-2026-krapinsko-zagorska-zupanija,city-nature-challenge-2026-krapinsko-zagorska-zupanija,264421.0
Krems,Krems - Wachau - Melk,Austria,,Lower Austria,https://www.inaturalist.org/projects/city-nature-challenge-2026-krems-wachau-melk,city-nature-challenge-2026-krems-wachau-melk,264407.0
Kropyvnytskyi,Kropyvnytskyi,Ukraine,,Kirovohradska,https://www.inaturalist.org/projects/city-nature-challenge-2026-kropyvnytskyi,city-nature-challenge-2026-kropyvnytskyi,274662.0
Kryvyi Rih,Kryvyi Rih Raion,Ukraine,,Kryvyi Rih Raion,https://www.inaturalist.org/projects/city-nature-challenge-2026-kryvyi-rih,city-nature-challenge-2026-kryvyi-rih,264578.0
Kyiv,Kyiv,Ukraine,,Kyiv,https://www.inaturalist.org/projects/city-nature-challenge-2026-kyiv,city-nature-challenge-2026-kyiv,264575.0
Port Shepstone,KZN South Coast,South Africa,,KwaZulu-Natal,https://www.inaturalist.org/projects/city-nature-challenge-2026-kzn-south-coast,city-nature-challenge-2026-kzn-south-coast,270387.0
Lake County,Lake County of California,United States of America,California,,https://www.inaturalist.org/projects/city-nature-challenge-2026-lake-county-california,city-nature-challenge-2026-lake-county-california,274555.0
Mentor,Lake County,United States of America,Ohio,,https://www.inaturalist.org/projects/city-nature-challenge-2026-lake-county-ohio,city-nature-challenge-2026-lake-county-ohio,270144.0
Lancashire,Lancashire,England,,Lancashire,https://www.inaturalist.org/projects/city-nature-challenge-2026-lancashire-uk,city-nature-challenge-2026-lancashire-uk,265834.0
Larimer County,Larimer County,United States of America,Colorado,,https://www.inaturalist.org/projects/city-nature-challenge-2026-larimer-county-co,city-nature-challenge-2026-larimer-county-co,273450.0
Allentown,Lehigh Valley,United States of America,Pennsylvania,,https://www.inaturalist.org/projects/city-nature-challenge-2026-lehigh-valley,city-nature-challenge-2026-lehigh-valley,267493.0
Leicester,Leicestershire and Rutland,England,,Leicestershire and Rutland,https://www.inaturalist.org/projects/city-nature-challenge-2026-leicestershire-and-rutland,city-nature-challenge-2026-leicestershire-and-rutland,269402.0
Lethbridge,Lethbridge,Canada,,Alberta,https://www.inaturalist.org/projects/city-nature-challenge-2026-lethbridge,city-nature-challenge-2026-lethbridge,265099.0
Lexington-Fayette County,"Lexington, Fayette County",United States of America,Kentucky,,https://www.inaturalist.org/projects/city-nature-challenge-2026-lexington-fayette-county-ky,city-nature-challenge-2026-lexington-fayette-county-ky,270059.0
Granville,"Licking County, Ohio",United States of America,Ohio,,https://www.inaturalist.org/projects/city-nature-challenge-2026-licking-county-ohio,city-nature-challenge-2026-licking-county-ohio,274968.0
Plitvička Jezera,Ličko-senjska županija,Croatia,,Ličko-senjska županija,https://www.inaturalist.org/projects/city-nature-challenge-2026-licko-senjska-zupanija,city-nature-challenge-2026-licko-senjska-zupanija,271688.0
Lincoln,Lincoln-Lancaster County,United States of America,Nebraska,,https://www.inaturalist.org/projects/city-nature-challenge-2026-lincoln-lancaster-county,city-nature-challenge-2026-lincoln-lancaster-county,270575.0
Liverpool,Liverpool City Region,England,,Liverpool City Region,https://www.inaturalist.org/projects/city-nature-challenge-2026-liverpool-city-region,city-nature-challenge-2026-liverpool-city-region,263237.0
Long Island,Long Island,United States of America,New York,,https://www.inaturalist.org/projects/city-nature-challenge-2026-long-island,city-nature-challenge-2026-long-island,263198.0
Los Angeles County,Los Angeles County,United States of America,California,,https://www.inaturalist.org/projects/city-nature-challenge-2026-los-angeles-county,city-nature-challenge-2026-los-angeles-county,263437.0
Los Patios,Los Patios / Norte de Santander,Colombia,,Norte de Santander,https://www.inaturalist.org/projects/city-nature-challenge-2026-los-patios,city-nature-challenge-2026-los-patios,274001.0
Louisville,Louisville Metro,United States of America,Kentucky,,https://www.inaturalist.org/projects/city-nature-challenge-2026-louisville-metro,city-nature-challenge-2026-louisville-metro,265135.0
Lower Rio Grande Valley,Lower Rio Grande Valley,United States of America,Texas,,https://www.inaturalist.org/projects/city-nature-challenge-2026-lower-rio-grande-valley,city-nature-challenge-2026-lower-rio-grande-valley,269087.0
Lutsk,Volyn Region,Ukraine,,Volyn,https://www.inaturalist.org/projects/city-nature-challenge-2026-lutsk,city-nature-challenge-2026-lutsk,274544.0
Lutsk,Lutsk,Ukraine,,Volyn,https://www.inaturalist.org/projects/city-nature-challenge-2026-lutsk,city-nature-challenge-2026-lutsk,274544.0
Lviv,Lviv,Ukraine,,Lviv,https://www.inaturalist.org/projects/city-nature-challenge-2026-lviv,city-nature-challenge-2026-lviv,274730.0
